first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP-D	bol_share_HP-S	bol_share_LP	bol_share_NP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	bol_share_HB	gt_share_HP-D	gt_share_HP-S	gt_share_LP	gt_share_NP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB	gt_share_HB
(^‿^)	2	2	shared	claude_ai	NP	NB	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
(^o^)	2	2	shared	claude_ai	HP-S	HP-S	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(^	2	2	wild_claude	claude_code	HP-S		0.0	0.6667	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=`ω´=)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=^・ｪ・^=)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;一_一)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;へ:)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;⌒_⌒)	2	2	wild_claude	claude_ai	HN-D		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;′⌒`)	2	2	wild_claude	claude_code	HN-S		0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;´д`ｿ)	2	2	wild_claude	claude_code	HN-D		0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(..)	2	2	wild_claude	claude_ai	HN-S		0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
((✿◕‿◕))	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
((⊂(`ω´∩)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ヘ`;)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´꒳`)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ｰ`)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ˊᗜˋ)	2	2	wild_claude	claude_code	HP-D		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌒_⌒;)	2	2	shared	claude_ai	HN-S	HP-D	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌐■‿■)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌐■_ω■)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(≧▽≦*)o	2	2	wild_claude	claude_ai	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(≧‿≦)	2	2	shared	claude_code	HP-S	HP-S	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1667	0.6667	0.0	0.1667	0.0	0.0	0.0	0.0	0.0
(⇀‸↼‶)	2	2	wild_claude	claude_code	HP-D		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⁄⁄・⁄ω⁄・⁄⁄)	2	2	wild_claude	claude_ai	LP		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(„・‿・„)	2	0	wild_other	other	HP-D		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(„・֊・„)	2	2	wild_claude	claude_code	NB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(„‿‿‿„)	2	2	wild_claude	claude_ai	HP-D		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ᐛ)	2	0	wild_other	other	HP-D		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(๑・̀⌄・́๑)૭	2	2	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ง・_・)	2	2	wild_claude	claude_code	HP-D		0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(งツ)	2	2	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ಠ益ಠ)	2	0	wild_other	other	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ಠ‿ಠ)	2	2	wild_claude	claude_code	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(̄▽̄)	2	2	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶˃‿˂˶;)	2	2	wild_claude	claude_ai	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˵・̀‿-˵)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˙◁˙)	2	2	wild_claude	claude_code	NP		0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˙▿˙)	2	2	wild_claude	claude_ai	HP-S		0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘・ω・˘)	2	2	wild_claude	claude_ai	NP		0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘͈‿˘͈)	2	2	wild_claude	claude_ai	HB		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˘³˘)	2	2	shared	claude_code	HP-S	LP	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(ˊᗜˋ*)و	2	2	wild_claude	claude_ai	LP		0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╯✧▽✧)	1	1	wild_claude	claude_code	HP-S		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
⊙﹏⊙	1	1	wild_claude	claude_code	HP-S		0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
